IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.118.65,4,4,0.00,58.02,44.55
104.19.144.125,4,4,0.00,66.87,35.86
104.16.145.137,4,4,0.00,69.42,32.12
104.17.209.133,4,4,0.00,62.34,31.68
104.17.53.210,4,4,0.00,64.57,28.84
104.17.105.86,4,4,0.00,67.67,28.68
104.17.59.186,4,4,0.00,61.77,27.80
104.18.44.95,4,4,0.00,64.83,27.66
104.19.159.205,4,4,0.00,70.01,25.91
172.64.88.153,4,4,0.00,197.10,23.89
